iter	Passed	Remaining
467	742	843
468	743	841
469	745	840
470	746	838
471	748	836
472	749	835
473	750	833
474	752	831
475	753	829
476	755	828
477	756	826
478	758	824
479	759	822
480	760	820
481	762	818
482	763	817
483	764	815
484	766	813
485	767	811
486	768	810
487	770	808
488	771	806
489	773	804
490	774	802
491	775	801
492	778	800
493	779	798
494	780	796
495	782	794
496	783	792
497	784	791
498	785	789
499	787	787
500	788	785
501	789	783
502	791	781
503	792	779
504	794	778
505	795	776
506	797	775
507	798	773
508	800	771
509	801	769
510	803	768
511	804	766
512	806	765
513	807	763
514	809	762
515	811	760
516	812	759
517	814	757
518	815	755
519	816	754
520	818	752
521	819	750
522	820	748
523	822	747
524	824	745
525	826	744
526	827	742
527	829	741
528	830	739
529	832	737
530	833	736
531	837	736
532	840	736
533	843	735
534	845	734
535	846	732
536	848	731
537	849	729
538	851	728
539	853	726
540	854	724
541	856	723
542	857	721
543	859	720
544	861	719
545	863	717
546	864	715
547	865	713
548	867	712
549	868	710
550	870	708
551	871	707
552	872	705
553	874	704
554	876	702
555	877	700
556	879	699
557	880	697
558	882	695
559	883	694
560	885	693
561	887	691
562	889	690
563	891	689
564	893	687
565	894	686
566	897	685
567	898	683
568	901	682
569	902	680
570	903	679
571	905	677
572	907	676
573	908	674
574	909	672
575	911	670
576	912	669
577	914	667
578	915	665
579	917	664
580	918	662
581	920	661
582	921	659
583	923	657
584	924	656
585	926	654
586	927	652
587	929	651
588	931	649
589	932	647
590	934	646
591	936	645
592	937	643
593	938	641
594	940	640
595	941	638
596	943	636
597	944	635
598	946	633
599	948	632
600	949	630
601	950	628
602	952	626
603	953	625
604	954	623
605	961	625
606	963	623
607	965	622
608	966	620
609	968	619
610	969	617
611	975	618
612	976	616
613	977	614
614	979	613
615	980	611
616	982	609
617	983	607
618	985	606
619	986	604
620	988	602
621	989	601
622	990	599
623	991	597
624	993	595
625	994	594
626	996	592
627	997	590
628	999	589
629	1000	587
630	1002	586
631	1003	584
632	1005	583
633	1007	581
634	1008	579
635	1010	578
636	1011	576
637	1013	574
638	1014	573
639	1016	571
640	1017	569
641	1019	568
642	1020	566
643	1021	564
644	1023	563
645	1024	561
646	1025	559
647	1027	558
648	1031	557
649	1032	556
650	1034	554
651	1035	552
652	1037	551
653	1038	549
654	1040	548
655	1042	546
656	1043	544
657	1044	543
658	1046	541
659	1047	539
660	1048	537
661	1050	536
662	1051	534
663	1053	532
664	1054	531
665	1056	529
666	1058	528
667	1060	526
668	1061	525
669	1063	523
670	1064	522
671	1066	520
672	1068	518
673	1069	517
674	1070	515
675	1072	514
676	1074	512
677	1075	511
678	1079	510
679	1082	509
680	1085	508
681	1087	506
682	1088	505
683	1089	503
684	1091	501
685	1092	499
686	1094	498
687	1095	497
688	1097	495
689	1098	493
690	1100	491
691	1101	490
692	1103	488
693	1104	487
694	1106	485
695	1107	483
696	1109	482
697	1110	480
698	1111	478
699	1113	477
700	1115	475
701	1116	473
702	1117	472
703	1119	470
704	1121	469
705	1122	467
706	1124	465
707	1125	464
708	1126	462
709	1128	460
710	1129	459
711	1130	457
712	1131	455
713	1133	453
714	1134	452
715	1135	450
716	1137	448
717	1138	447
718	1139	445
719	1141	443
720	1142	442
721	1143	440
722	1145	438
723	1146	437
724	1148	435
725	1150	434
726	1151	432
727	1152	430
728	1154	429
729	1156	427
730	1157	426
731	1159	424
732	1161	422
733	1162	421
734	1163	419
735	1164	417
736	1166	416
737	1167	414
738	1169	412
739	1170	411
740	1171	409
741	1172	407
742	1173	406
743	1175	404
744	1176	402
745	1178	401
746	1179	399
747	1180	397
748	1182	396
749	1183	394
750	1185	392
751	1186	391
752	1187	389
753	1188	387
754	1189	386
755	1190	384
756	1192	382
757	1193	381
758	1195	379
759	1196	377
760	1197	376
761	1199	374
762	1200	372
763	1202	371
764	1203	369
765	1204	367
766	1205	366
767	1206	364
768	1208	362
769	1209	361
770	1210	359
771	1211	357
772	1212	356
773	1214	354
774	1215	352
