iter	RMSE
159	569807.6243
160	569805.881
161	564718.1856
162	564713.3175
163	564711.9994
164	564018.9052
165	563270.6492
166	562574.9646
167	561833.9085
168	559966.4063
169	555381.21
170	555379.7142
171	554742.8269
172	551243.3679
173	547690.2522
174	543997.5947
175	543806.352
176	539061.8164
177	539061.464
178	537098.5293
179	536513.5691
180	536513.1855
181	534654.6029
182	533853.3137
183	533492.8938
184	533277.5684
185	532699.8264
186	529400.4731
187	528719.2728
188	524790.6272
189	520558.3325
190	519958.2229
191	517426.5644
192	517426.4924
193	517175.3425
194	516920.1043
195	516029.5816
196	515383.4726
197	512192.5421
198	511181.0651
199	507694.1409
200	503589.9964
201	498513.6738
202	498099.1606
203	493308.8939
204	492038.2169
205	491864.4651
206	491357.4808
207	486891.2332
208	483177.2756
209	482752.9255
210	480178.0798
211	479828.1941
212	477082.7647
213	476747.0285
214	474944.805
215	473828.5361
216	473254.2192
217	469838.7871
218	468086.2135
219	467432.9506
220	465200.0142
221	464975.991
222	463269.0246
223	459392.0252
224	456360.6395
225	454357.6731
226	453797.8492
227	453270.5025
228	452883.7922
229	452276.5455
230	450403.6621
231	448806.6843
232	447292.6598
233	446698.8824
234	445982.7865
235	445599.8413
236	444846.007
237	444667.5589
238	443154.888
239	441884.4948
240	440464.4278
241	439515.2293
242	438956.4543
243	438363.6867
244	437338.2663
245	436727.7611
246	436351.4823
247	435538.9554
248	434224.498
249	433257.1545
250	432676.808
251	432551.0075
252	432299.1856
253	430730.8678
254	427570.932
255	426502.1517
256	424968.9635
257	423886.6781
258	423676.9624
259	422824.9691
260	421554.5754
261	420716.1003
262	419929.149
263	419830.8963
264	419595.0492
265	416926.7611
266	416028.5303
267	414116.0672
268	412950.2103
269	412143.5692
270	411686.5299
271	410894.6502
272	410249.5628
273	410031.1973
274	409282.4188
275	408808.9619
276	408577.2141
277	408366.0648
278	407706.82
279	406884.1906
280	406460.3565
281	405671.4077
282	404641.1898
283	404048.3762
284	403499.7675
285	402815.3702
286	402063.7013
287	400424.8629
288	400032.6565
289	399376.7314
290	398768.4255
291	398315.5931
292	397621.1382
293	396811.6244
294	396712.9064
295	395225.5995
296	394339.271
297	393922.9622
298	392218.0341
299	391044.022
300	390434.1146
301	389631.2686
302	388461.5813
303	387927.9562
304	387642.6825
305	387102.4034
306	387001.653
307	384985.1989
308	384389.0569
309	384017.9599
310	383032.6864
311	382810.3996
312	382373.7193
313	381002.4134
314	380740.4461
315	380358.9048
316	379547.4178
317	379278.201
318	378925.5524
319	378196.2189
320	378041.2454
321	377453.539
322	375236.5719
323	374611.0211
324	374444.7601
325	374286.4504
326	372355.9825
327	371710.4424
328	370856.9992
329	370406.5984
330	368576.7177
331	368456.5827
332	367938.1585
333	367451.5347
334	367082.4374
335	366422.6861
336	366240.9324
337	365917.5118
338	365201.0023
339	364503.1591
340	362658.3352
341	362340.3705
342	360556.1996
343	359185.2727
344	358866.62
345	358810.982
346	358700.9501
347	358579.0207
348	358235.7556
349	358081.7953
350	357871.4579
351	357261.0111
352	355108.1036
353	353028.7829
354	351924.2347
355	351342.4718
356	349947.9565
357	349297.9431
358	348997.7127
359	348559.6672
360	348267.7419
361	346963.1562
362	345657.1894
363	345034.8119
364	344768.5154
365	343407.3884
366	343002.3238
367	341483.9984
368	339669.9955
369	339526.9512
370	339169.3309
371	338534.6602
372	338337.0178
373	338020.0678
374	337863.4083
375	337599.6
376	337015.2399
377	336726.8939
378	336417.1074
379	336287.521
380	334732.7568
381	333607.7897
382	332349.0498
383	332203.1675
384	330863.7767
385	329967.6281
386	329412.6218
387	329135.0982
388	328497.4218
389	328451.3401
390	328147.8847
391	327916.6445
392	327765.6087
393	327140.0383
394	325973.8514
395	325421.4241
396	325377.4688
397	325056.2362
398	323958.5499
399	323912.0065
400	322864.0139
401	322772.986
402	322051.1869
403	321533.7275
404	320541.5083
405	320459.4358
406	320317.2414
407	319898.4364
408	319842.8937
409	318813.4173
410	317534.4321
411	317153.3747
412	316202.0844
413	315342.0003
414	315001.8799
415	314549.2319
416	313690.6842
417	312876.5099
418	312125.1629
419	310941.8846
420	310405.675
421	309950.3388
422	308240.5731
423	307821.232
424	307585.6203
425	306654.9499
426	306605.0572
427	306130.1966
428	305329.6842
429	304787.483
430	304282.2208
431	303194.0192
432	301992.5644
433	301624.1609
434	301530.8749
435	301018.9992
436	300266.0913
437	300075.0874
438	299575.5554
439	299136.9762
440	298854.0412
441	298510.2735
442	298035.1967
443	297934.5579
444	297615.6167
445	297257.8746
446	297181.8783
447	297119.2996
448	296726.6835
449	296132.9875
450	295339.7736
451	295033.5586
452	294108.1883
453	294040.3991
454	293586.7801
455	293515.6524
456	293235.4147
457	292612.4524
458	292353.9761
459	291404.6106
460	290589.1592
461	290068.3894
462	290022.9111
463	289522.4263
464	289119.2114
465	287450.7054
466	286804.4533
467	286268.6706
468	285454.8805
469	284920.7658
470	284149.4024
471	283979.1903
472	283364.1098
473	282899.4901
474	282349.9468
475	282333.079
476	282281.405
477	282026.988
478	281993.7245
479	281704.0744
480	281605.5481
481	281198.7342
482	281118.4336
483	280721.5927
484	280674.4493
485	280645.1098
486	280567.655
487	280385.9814
488	279675.5493
489	279065.3671
490	279000.3662
491	278826.4215
492	278378.2249
493	277687.8988
494	277379.631
495	277096.2745
496	277080.1819
497	276923.3785
498	276754.6271
499	276522.8957
500	275676.7382
501	274174.5785
502	273886.3496
503	273771.6945
504	273374.6289
505	273149.6439
506	271815.6973
507	271471.4788
508	270897.1362
509	270223.7406
510	270015.7113
511	269915.2482
512	269425.2876
513	268771.5176
514	267820.4097
515	267620.8108
516	267058.8484
517	266166.574
518	265597.0499
519	265162.5294
520	265041.1287
521	264917.7092
522	264679.0446
523	263920.7136
524	263518.0398
525	263183.3247
526	262863.3971
527	262499.1222
528	262417.7349
529	262325.8158
530	261883.231
531	261387.5899
532	260811.7162
533	260353.0698
534	259955.7358
535	259481.9505
536	259243.2637
537	258934.9769
538	258715.6783
539	258691.2796
540	257918.2329
541	257642.3904
542	257528.3101
543	257108.849
544	256142.9072
545	255959.7691
546	255034.6613
547	254086.3378
548	253927.773
549	253904.5495
550	253489.007
551	253340.5784
552	253031.7331
553	252597.31
554	252587.3533
555	252504.0161
556	252258.3844
557	252224.8745
558	252103.4032
559	251511.3292
560	251329.3878
561	250641.6977
562	250550.1652
563	250021.1853
564	249416.0422
565	248909.3719
566	248643.875
567	248244.2875
568	248191.2372
569	248048.7816
570	247374.2374
571	246876.3468
572	246813.3811
573	246620.8864
574	246370.2471
575	246083.2431
576	245860.7608
577	245687.8584
578	245542.0449
579	244933.8352
580	244583.8013
581	244374.1049
582	244046.5014
583	243710.463
584	243320.3643
585	242614.908
586	242467.2834
587	241766.4211
588	241396.3326
589	241047.5229
590	240835.5677
591	240540.1623
592	240278.3415
593	239981.7982
594	239698.4049
595	239244.2353
596	239022.6961
597	238760.7334
598	238482.8909
599	238202.7312
600	238055.5068
601	237789.4719
602	237567.2595
603	237511.9255
604	236931.3091
605	236864.0666
606	236682.4463
607	236598.9365
608	236021.5311
609	235756.5409
610	235338.0021
611	234942.0086
612	234772.8185
613	234381.2826
614	234253.3462
615	233910.3163
616	233615.4635
617	233493.8364
618	233170.1724
619	232889.0106
620	232361.3676
621	231859.9097
622	231552.2271
623	231456.3783
624	231183.7769
625	231049.0113
626	230782.814
627	230353.8623
628	230130.8856
629	229807.6837
630	229352.114
631	229159.7975
632	228751.8214
633	228372.448
634	227940.0908
635	227658.6016
636	227494.8913
637	227326.4276
638	227127.5308
639	226432.9354
640	226257.2051
641	225814.2073
642	225693.351
643	225410.7299
644	225333.8404
645	224903.5287
646	224709.7412
647	224689.2547
648	224292.3038
649	224223.1086
650	223605.2224
651	223496.7144
652	223303.7195
653	222987.8338
654	222711.1493
655	222390.6688
656	222107.0614
657	221969.5734
658	221719.8931
659	221470.5218
660	221141.0224
661	220471.1759
662	220018.0189
663	220000.6535
664	219594.874
665	219243.2689
666	218965.3983
667	218746.3172
668	218526.3163
669	218483.3969
670	218176.8795
671	217813.3736
672	217505.7116
673	217304.1857
674	217074.1256
675	216778.615
676	216345.3666
677	216216.3449
678	216022.4663
679	215984.2638
680	215728.4034
681	215399.7033
682	215379.8673
683	215367.7153
684	215322.2162
685	215230.7415
686	214870.8526
687	214779.1304
688	214557.8192
689	214240.0847
690	213956.6683
691	213067.7546
692	211924.5
693	211789.0196
694	211580.7614
695	211313.8648
696	211067.1494
697	211032.0372
698	210952.2167
699	210904.562
700	210763.1781
701	210664.4126
702	209913.1527
703	209644.4091
704	209499.9922
705	209222.7708
706	208810.6147
707	208587.3986
708	208452.3891
709	208412.3902
710	208382.5778
711	208366.4665
712	208265.3638
713	208169.2036
714	208132.1498
715	208065.1722
716	207965.5691
717	207907.3753
718	207682.5054
719	207584.0532
720	207571.43
721	207555.5136
722	207350.1096
723	207236.8621
724	206861.0862
725	206655.7904
726	206516.5112
727	205605.5912
728	205513.2019
729	205447.2557
730	205380.706
731	205171.3024
732	205014.5628
733	204800.9065
734	204623.1578
735	204502.9555
736	204084.4315
737	203950.6861
738	203585.5153
739	203351.5262
740	203238.5093
741	202936.5383
742	202603.2491
743	202535.2659
744	202207.6218
745	201896.7545
746	201583.7493
747	201292.7727
748	201154.5907
749	201068.0654
750	200945.9193
751	200810.4852
752	200753.5858
753	200571.3358
754	200034.2794
755	199830.6664
756	199478.369
757	199109.3298
758	198870.6895
759	198710.7251
760	198385.0817
761	198053.0338
762	197878.7946
763	197832.9489
764	197816.3533
765	197716.6156
766	197227.9296
767	197163.2095
768	197124.3046
769	196814.4528
770	196477.0809
771	196303.2332
772	196017.1206
773	195551.189
774	195368.3783
775	195140.6679
776	195006.0062
777	194845.776
778	194780.1569
779	194726.515
780	194721.9136
781	194649.7571
782	194627.4348
783	194574.4555
784	194316.1464
785	194277.693
786	194044.5186
787	193754.2757
788	193505.6338
789	193215.7096
790	192817.1767
791	192442.5723
792	192377.9534
793	192318.2199
794	192283.005
795	192265.4131
796	192176.9565
797	191999.4555
798	191612.9604
799	191257.8939
800	191116.6524
801	190958.686
802	190850.8649
803	190668.8604
804	190433.5398
805	190002.8157
806	189940.338
807	189814.0035
808	189571.8407
809	189510.5032
810	189383.568
811	189283.0403
812	189263.2497
813	189107.2177
814	189015.6731
815	188758.6376
816	188697.005
817	188589.1197
818	187901.026
819	187586.8701
820	187385.5139
821	187154.0724
822	187080.1625
823	186796.2594
824	186425.929
825	186006.1489
826	185832.2142
827	185682.6483
828	185652.1697
829	185597.0621
830	185406.8323
831	185126.1399
832	184960.5241
833	184742.7984
834	184456.9575
835	184330.8849
836	184181.2136
837	184149.8824
838	183701.8875
839	183668.1225
840	183135.2801
841	182649.2458
842	182463.2671
843	182265.3023
844	182081.4756
845	182048.5007
846	181995.7166
847	181672.6825
848	181532.1986
849	181429.6612
850	181204.3063
851	181048.8773
852	180856.9781
853	180833.6355
854	180704.7274
855	180306.0873
856	180185.3695
857	179995.1122
858	179913.249
859	179870.3508
860	179568.2068
861	179450.5613
862	179388.5902
863	179381.7614
864	179318.3878
865	179078.5137
866	178861.9352
867	178555.6923
868	178528.9574
869	178376.5803
870	178259.1207
871	178156.9224
872	178109.1954
873	177962.0515
874	177943.142
875	177926.2436
876	177760.0656
877	177538.6652
878	177013.4529
879	176887.5122
880	176641.9447
881	176556.9207
882	176070.7702
883	175868.4078
884	175742.8249
885	175569.7157
886	175356.3805
887	175225.391
888	175043.7588
889	174649.9944
890	174615.8271
891	174567.1976
892	174531.3643
893	174288.1118
894	174083.023
895	173427.5366
896	173263.4384
897	173074.3228
898	173036.7145
899	172568.9331
900	172478.9715
901	172432.6028
902	172286.7945
903	172127.6017
904	172009.3644
905	171806.7887
906	171654.8533
907	171531.4681
908	171278.2346
909	171132.8701
910	170977.2584
911	170966.9882
912	170865.6661
913	170733.7075
914	170502.499
915	170460.594
916	169951.8302
917	169859.5292
918	169766.1287
919	169640.6694
920	169583.6541
921	169554.6949
922	169527.6448
923	169237.6843
924	168991.8217
925	168904.694
926	168541.5741
927	168306.4287
928	168121.5659
929	167827.4326
930	167409.2611
931	167218.8429
932	167179.5853
933	167154.4997
934	167133.035
935	167060.3347
936	166938.5649
937	166918.5657
938	166769.0191
939	166724.8364
940	166605.8213
941	166187.3089
942	166090.7134
943	165961.3383
944	165926.4524
945	165831.8603
946	165697.7194
947	165362.5212
948	165245.5962
949	165103.1435
950	165006.5219
951	164757.0923
952	164628.752
953	164626.6191
954	164507.083
955	164233.6644
956	164174.9689
957	163707.9325
958	163595.4992
959	163495.559
960	163313.5092
961	163239.3157
962	163043.3052
963	162977.5289
964	162942.6123
965	162882.8719
966	162769.3798
967	162752.8325
968	162661.4457
969	162467.6901
970	162344.2154
971	162121.3895
972	161937.4655
973	161790.3596
974	161707.5014
975	161648.9578
976	161625.0802
977	161607.9913
978	161439.9153
979	161046.4085
980	160831.7051
981	160754.5321
982	160732.4959
983	160680.5808
984	160656.5904
985	160497.9618
986	160409.603
987	160288.9732
988	160214.3392
989	160038.8321
990	159925.3534
991	159853.7741
992	159721.018
993	159685.1833
994	159604.7635
995	159515.241
996	159416.5788
997	159211.2567
998	159105.6292
999	159041.1197
